"id"	"case_no"	"case_no_year"	"case_no_sequence"	"case_no_series"	"session_date"	"session_time"	"location"	"case_subject"	"judge_id"	"judge_name"	"cleark_id"	"clerk_name"	"handle_department"	"session_form"	"is_open"	"create_date"	"create_user_id"	"create_username"	"create_user_realname"	"revise_date"	"revise_user_id"	"revise_username"	"revise_user_realname"	"status"	"register_date"	"handle_person"	"courtroom_name"	"session_begin"	"session_end"	"memo"	"procedure_type"	"appliers"	"defenders"	"case_progress"	"appeal_date"	"appeal_result"	"mediate_date"	"mediate_result"	"sentence_date"	"sentence_result"	"regional_court"	"is_finish"	"regional_court_id"	"change_time"	"docUNID"	"sjy"	"sqrssdw"	"bsqrssdw"	"sasj"	"pqsj"	"ccbq"	"ysjasj"	"ysjafs"	"esjg"	"dqjd"	"xxly"	"is_deleted"	"SAAY"	"SXRQ"	"AJLB"
"23521892483817152"	"(2012)深中法民终字第02625号"	"2012"	"民终"	"2625"	""	""	""	"买卖合同纠纷"	"4403000366"	"谢继宇"	"4403001045"	"王奇峰"	"44030033"	""	""	"2014/3/25 18:12:55"	""	""	""	""	""	""	""	"CMS_INFORMATION_STATUS_APPROVED"	"2012/11/7 00:00:00"	"4403000366"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"中级法院"	""	"440300"	"2014/3/25 18:12:55"	""	"4403001045"	""	""	"2012/9/27 00:00:00"	""	""	"2013/2/1 00:00:00"	"09_03304-2"	""	"970"	"3"	"0"	"9142"	" "	"2"
"23521900479151650"	"(2012)深宝法民一初字第06466号"	"2012"	"民一初"	"6466"	""	""	""	"侵权责任纠纷"	"4403040936"	"李冬萍"	"4403040935"	"张智明"	"44030412"	""	""	"2014/3/21 16:50:18"	""	""	""	""	""	""	""	"CMS_INFORMATION_STATUS_APPROVED"	"2012/11/14 00:00:00"	"4403040936"	""	""	""	""	"09_03201-2"	""	""	""	""	""	""	""	""	""	"宝安法院"	""	"440304"	"2014/3/21 16:50:18"	""	"4403040935"	""	""	"2012/11/14 00:00:00"	""	""	"2013/8/12 00:00:00"	"09_03215-1"	""	"950"	"3"	"0"	"9705"	" "	"2"
"23521935388075510"	"(2012)深南法蛇民初字第00205号"	"2012"	"蛇民初"	"205"	""	""	""	"劳动合同纠纷"	"4403030093"	"麦贤勤"	"4403030240"	"李梦黎"	"44030340"	""	""	"2014/2/19 18:35:25"	""	""	""	""	""	""	""	"CMS_INFORMATION_STATUS_APPROVED"	"2012/11/16 00:00:00"	"4403030093"	""	""	""	""	"09_03201-1"	""	""	""	""	""	""	""	""	""	"南山法院"	""	"440303"	"2014/2/19 18:35:25"	""	"4403030240"	""	""	"2012/11/6 00:00:00"	""	""	"2012/12/20 00:00:00"	"09_03215-1"	""	"970"	"3"	"0"	"9463"	" "	"2"
"23521940706952438"	"(2012)深南法蛇民初字第00206号"	"2012"	"蛇民初"	"206"	""	""	""	"劳动合同纠纷"	"4403030093"	"麦贤勤"	"4403030240"	"李梦黎"	"44030340"	""	""	"2014/2/19 18:35:25"	""	""	""	""	""	""	""	"CMS_INFORMATION_STATUS_APPROVED"	"2012/11/16 00:00:00"	"4403030093"	""	""	""	""	"09_03201-1"	""	""	""	""	""	""	""	""	""	"南山法院"	""	"440303"	"2014/2/19 18:35:25"	""	"4403030240"	""	""	"2012/11/6 00:00:00"	""	""	"2012/12/18 00:00:00"	"09_03215-1"	""	"970"	"3"	"0"	"9463"	" "	"2"
"23521940708635304"	"(2012)深南法蛇民初字第00207号"	"2012"	"蛇民初"	"207"	""	""	""	"劳动合同纠纷"	"4403030093"	"麦贤勤"	"4403030240"	"李梦黎"	"44030340"	""	""	"2014/2/19 18:35:25"	""	""	""	""	""	""	""	"CMS_INFORMATION_STATUS_APPROVED"	"2012/11/16 00:00:00"	"4403030093"	""	""	""	""	"09_03201-1"	""	""	""	""	""	""	""	""	""	"南山法院"	""	"440303"	"2014/2/19 18:35:25"	""	"4403030240"	""	""	"2012/11/6 00:00:00"	""	""	"2012/12/18 00:00:00"	"09_03215-1"	""	"970"	"3"	"0"	"9463"	" "	"2"
"23521940710231880"	"(2012)深南法蛇民初字第00208号"	"2012"	"蛇民初"	"208"	""	""	""	"劳动合同纠纷"	"4403030093"	"麦贤勤"	"4403030240"	"李梦黎"	"44030340"	""	""	"2014/2/19 18:35:25"	""	""	""	""	""	""	""	"CMS_INFORMATION_STATUS_APPROVED"	"2012/11/16 00:00:00"	"4403030093"	""	""	""	""	"09_03201-1"	""	""	""	""	""	""	""	""	""	"南山法院"	""	"440303"	"2014/2/19 18:35:25"	""	"4403030240"	""	""	"2012/11/6 00:00:00"	""	""	"2012/12/18 00:00:00"	"09_03215-1"	""	"970"	"3"	"0"	"9463"	" "	"2"
"23521943226922449"	"(2012)深中法商终字第01984号"	"2012"	"商终"	"1984"	""	""	""	"加工合同纠纷"	"4403000503"	"冼朝暾"	"4403000826"	"周荻"	"44030013"	""	""	"2014/2/27 18:35:56"	""	""	""	""	""	""	""	"CMS_INFORMATION_STATUS_APPROVED"	"2012/11/8 00:00:00"	"4403000503"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"中级法院"	""	"440300"	"2014/2/27 18:35:56"	""	"4403000826"	""	""	"2012/10/9 00:00:00"	""	""	"2013/8/16 00:00:00"	"09_03304-2"	""	"970"	"3"	"0"	"9201"	"20130930"	"2"
"23521946185570066"	"(2012)深中法民终字第02634号"	"2012"	"民终"	"2634"	""	""	""	"委托合同纠纷"	"4403000040"	"池伟宏"	"4403000852"	"刘慧玲"	"44030033"	""	""	"2014/3/25 18:12:55"	""	""	""	""	""	""	""	"CMS_INFORMATION_STATUS_APPROVED"	"2012/11/8 00:00:00"	"4403000040"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"中级法院"	""	"440300"	"2014/3/25 18:12:55"	""	"4403000852"	""	""	"2012/8/23 00:00:00"	""	""	"2013/6/4 00:00:00"	"09_03304-3"	""	"970"	"3"	"0"	"9237"	"20130603"	"2"
"23521947698511954"	"(2012)深宝法执字第08403号"	"2012"	"执"	"8403"	""	""	""	"合同"	"4403040330"	"张琼"	"4403040908"	"方悦"	"44030404"	""	""	"2014/2/13 17:06:08"	""	""	""	""	""	""	""	"CMS_INFORMATION_STATUS_APPROVED"	"2012/11/6 00:00:00"	"4403040330"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"宝安法院"	""	"440304"	"2014/2/13 17:06:08"	""	"4403040908"	""	""	"2012/11/6 00:00:00"	""	""	""	" "	""	"500"	"3"	"0"	"3008"	" "	"8"
"23521978607874921"	"(2012)深宝法民二初字第03796号"	"2012"	"民二初"	"3796"	""	""	""	"借款合同纠纷"	"4403040126"	"柳海涛"	"4403040381"	"相惠玲"	"44030413"	""	""	"2014/4/2 18:10:35"	""	""	""	""	""	""	""	"CMS_INFORMATION_STATUS_APPROVED"	"2012/11/7 00:00:00"	"4403040126"	""	""	""	""	"09_03201-2"	""	""	""	""	""	""	""	""	""	"宝安法院"	""	"440304"	"2014/4/2 18:10:35"	""	"4403040381"	""	""	"2012/11/7 00:00:00"	""	""	"2014/4/1 00:00:00"	"09_03215-1"	""	"800"	"3"	"0"	"9177"	" "	"2"
"23522517298688338"	"(2012)深福法执字第07306号"	"2012"	"执"	"7306"	""	""	""	"仲裁"	"4403020179"	"曾文德"	"4403020418"	"陈亮"	"44030204"	""	""	"2014/2/13 17:06:08"	""	""	""	""	""	""	""	"CMS_INFORMATION_STATUS_APPROVED"	"2012/11/7 00:00:00"	"4403020179"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"福田法院"	""	"440302"	"2014/2/13 17:06:08"	""	"4403020418"	""	""	"2012/11/7 00:00:00"	""	""	""	" "	""	"500"	"3"	"0"	"3021"	" "	"8"
"23522518241792606"	"(2012)深宝法公劳初字第00332号"	"2012"	"公劳初"	"332"	""	""	""	"劳动争议"	"4403040283"	"洪英利"	"4403040623"	"徐江明"	"44030445"	""	""	"2014/2/13 17:06:08"	""	""	""	""	""	""	""	"CMS_INFORMATION_STATUS_APPROVED"	"2012/11/9 00:00:00"	"4403040283"	""	""	""	""	"09_03201-1"	""	""	""	""	""	""	""	""	""	"宝安法院"	""	"440304"	"2014/2/13 17:06:08"	""	"4403040623"	""	""	"2012/11/7 00:00:00"	""	""	"2013/3/15 00:00:00"	"09_03215-7"	""	"950"	"3"	"0"	"9462"	"20140212"	"2"
"23522564170431506"	"(2012)深宝法知民初字第01987号"	"2012"	"知民初"	"1987"	""	""	""	"侵害商业秘密纠纷"	"4403040218"	"应连"	"4403040442"	"郭俊诚"	"44030415"	""	""	"2014/2/20 19:56:22"	""	""	""	""	""	""	""	"CMS_INFORMATION_STATUS_APPROVED"	"2012/11/8 00:00:00"	"4403040218"	""	""	""	""	"09_03201-2"	""	""	""	""	""	""	""	""	""	"宝安法院"	""	"440304"	"2014/2/20 19:56:22"	""	"4403040442"	""	""	"2012/11/8 00:00:00"	""	""	"2013/10/16 00:00:00"	"09_03215-1"	""	"950"	"3"	"0"	"9441"	" "	"2"
"23522566993197136"	"(2012)深龙法执字第06177号"	"2012"	"执"	"6177"	""	""	""	"合同"	"4403050156"	"唐秀兰"	" "	"彭国民"	"440305042"	""	""	"2014/3/24 18:16:30"	""	""	""	""	""	""	""	"CMS_INFORMATION_STATUS_APPROVED"	"2012/11/7 00:00:00"	"4403050156"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"龙岗法院"	""	"440305"	"2014/3/24 18:16:30"	""	" "	""	""	"2012/11/7 00:00:00"	""	""	"2014/3/17 00:00:00"	"09_05021-5"	""	"970"	"3"	"0"	"3008"	" "	"8"
"23522575719762228"	"(2012)深宝法龙执字第00218号"	"2012"	"龙执"	"218"	""	""	""	"仲裁"	"4403040390"	"江涛"	"4403040556"	"林弦"	"44030443"	""	""	"2014/2/24 18:41:03"	""	""	""	""	""	""	""	"CMS_INFORMATION_STATUS_APPROVED"	"2012/11/7 00:00:00"	"4403040390"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"宝安法院"	""	"440304"	"2014/2/24 18:41:03"	""	"4403040556"	""	""	"2012/11/7 00:00:00"	""	""	"2014/2/17 00:00:00"	"05_604-5"	""	"950"	"3"	"0"	"3021"	" "	"8"
"23522575811010796"	"(2012)深宝法西民初字第01200号"	"2012"	"西民初"	"1200"	""	""	""	"离婚后财产纠纷"	"4403040110"	"林雪"	"4403040428"	"庄秋玲"	"44030440"	""	""	"2014/3/12 18:22:13"	""	""	""	""	""	""	""	"CMS_INFORMATION_STATUS_APPROVED"	"2012/11/7 00:00:00"	"4403040110"	""	""	""	""	"09_03201-1"	""	""	""	""	""	""	""	""	""	"宝安法院"	""	"440304"	"2014/3/12 18:22:13"	""	"4403040428"	""	""	"2012/11/7 00:00:00"	""	""	"2013/1/15 00:00:00"	"09_03215-1"	""	"970"	"3"	"0"	"9016"	" "	"2"
"23522576852772662"	"(2012)深宝法公民初字第00364号"	"2012"	"公民初"	"364"	""	""	""	"离婚纠纷"	"4403040283"	"洪英利"	"4403040623"	"徐江明"	"44030445"	""	""	"2014/2/13 17:06:08"	""	""	""	""	""	""	""	"CMS_INFORMATION_STATUS_APPROVED"	"2012/11/7 00:00:00"	"4403040283"	""	""	""	""	"09_03201-1"	""	""	""	""	""	""	""	""	""	"宝安法院"	""	"440304"	"2014/2/13 17:06:08"	""	"4403040623"	""	""	"2012/11/7 00:00:00"	""	""	"2012/12/29 00:00:00"	"09_03215-4"	""	"970"	"3"	"0"	"9015"	"20140212"	"2"
"23522579052526567"	"(2012)深龙法民一初字第03106号"	"2012"	"民一初"	"3106"	""	""	""	"生命权、健康权、身体权纠纷"	"4403050179"	"向翔"	"4403050522"	"廖宇虹"	"44030512"	""	""	"2014/3/5 18:17:19"	""	""	""	""	""	""	""	"CMS_INFORMATION_STATUS_APPROVED"	"2012/11/7 00:00:00"	"4403050179"	""	""	""	""	"09_03201-1"	""	""	""	""	""	""	""	""	""	"龙岗法院"	""	"440305"	"2014/3/5 18:17:19"	""	"4403050522"	""	""	"2012/11/7 00:00:00"	""	""	""	" "	""	"500"	"3"	"0"	"9003"	" "	"2"
"23522587345985048"	"(2012)深中法执字第00810号"	"2012"	"执"	"810"	""	""	""	"仲裁"	"4403000299"	"唐静"	"4403000360"	"肖丹"	"440300040"	""	""	"2014/2/13 17:06:08"	""	""	""	""	""	""	""	"CMS_INFORMATION_STATUS_APPROVED"	"2012/11/13 00:00:00"	"4403000299"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"中级法院"	""	"440300"	"2014/2/13 17:06:08"	""	"4403000360"	""	""	"2012/11/12 00:00:00"	""	""	""	" "	""	"500"	"3"	"0"	"3021"	" "	"8"
"23522587949161505"	"(2012)深中法执字第00806号"	"2012"	"执"	"806"	""	""	""	"仲裁"	"4403000299"	"唐静"	"4403000360"	"肖丹"	"440300040"	""	""	"2014/2/13 17:06:08"	""	""	""	""	""	""	""	"CMS_INFORMATION_STATUS_APPROVED"	"2012/11/13 00:00:00"	"4403000299"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"中级法院"	""	"440300"	"2014/2/13 17:06:08"	""	"4403000360"	""	""	"2012/11/12 00:00:00"	""	""	""	" "	""	"500"	"3"	"0"	"3021"	" "	"8"
"23522589003833071"	"(2012)深中法执字第00807号"	"2012"	"执"	"807"	""	""	""	"仲裁"	"4403000299"	"唐静"	"4403000360"	"肖丹"	"440300040"	""	""	"2014/3/5 18:17:19"	""	""	""	""	""	""	""	"CMS_INFORMATION_STATUS_APPROVED"	"2012/11/13 00:00:00"	"4403000299"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"中级法院"	""	"440300"	"2014/3/5 18:17:19"	""	"4403000360"	""	""	"2012/11/7 00:00:00"	""	""	"2013/5/20 00:00:00"	"09_05021-5"	""	"970"	"3"	"0"	"3021"	" "	"8"
"23522589522244262"	"(2012)深中法执字第00808号"	"2012"	"执"	"808"	""	""	""	"仲裁"	"4403000299"	"唐静"	"4403000360"	"肖丹"	"440300040"	""	""	"2014/3/5 18:17:19"	""	""	""	""	""	""	""	"CMS_INFORMATION_STATUS_APPROVED"	"2012/11/13 00:00:00"	"4403000299"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"中级法院"	""	"440300"	"2014/3/5 18:17:19"	""	"4403000360"	""	""	"2012/11/12 00:00:00"	""	""	"2013/4/19 00:00:00"	"05_604-5"	""	"970"	"3"	"0"	"3021"	" "	"8"
"23522589686599088"	"(2012)深中法执字第00812号"	"2012"	"执"	"812"	""	""	""	"仲裁"	"4403000299"	"唐静"	"4403000360"	"肖丹"	"440300040"	""	""	"2014/3/5 18:17:19"	""	""	""	""	""	""	""	"CMS_INFORMATION_STATUS_APPROVED"	"2012/11/13 00:00:00"	"4403000299"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"中级法院"	""	"440300"	"2014/3/5 18:17:19"	""	"4403000360"	""	""	"2012/11/12 00:00:00"	""	""	"2013/8/21 00:00:00"	"05_604-4"	""	"970"	"3"	"0"	"3021"	" "	"8"
"23522589850664442"	"(2012)深中法执字第00811号"	"2012"	"执"	"811"	""	""	""	"仲裁"	"4403000299"	"唐静"	"4403000360"	"肖丹"	"440300040"	""	""	"2014/3/5 18:17:19"	""	""	""	""	""	""	""	"CMS_INFORMATION_STATUS_APPROVED"	"2012/11/13 00:00:00"	"4403000299"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"中级法院"	""	"440300"	"2014/3/5 18:17:19"	""	"4403000360"	""	""	"2012/11/12 00:00:00"	""	""	"2013/8/21 00:00:00"	"05_604-4"	""	"970"	"3"	"0"	"3021"	" "	"8"
"23522590914607473"	"(2012)深龙法布民初字第00354号"	"2012"	"布民初"	"354"	""	""	""	"劳动合同纠纷"	"4403050249"	"冼定航"	"4403050572"	"马恒星"	"44030540"	""	""	"2014/3/21 16:50:18"	""	""	""	""	""	""	""	"CMS_INFORMATION_STATUS_APPROVED"	"2012/11/7 00:00:00"	"4403050249"	""	""	""	""	"09_03201-2"	""	""	""	""	""	""	""	""	""	"龙岗法院"	""	"440305"	"2014/3/21 16:50:18"	""	"4403050572"	""	""	"2012/11/7 00:00:00"	""	""	"2013/5/15 00:00:00"	"09_03215-1"	""	"970"	"3"	"0"	"9463"	" "	"2"
